domain,diamond_id,value_tier,width,height,aspect_ratio,r_mean,g_mean,b_mean,r_std,g_std,b_std
ja_natural,14373518,mid_range,757,600,1.2617,160.3234,160.8001,161.2085,70.8188,69.9568,69.3948
ja_natural,27821237,mid_range,757,600,1.2617,173.5175,174.5015,174.2656,58.4225,57.1095,55.4241
ja_natural,25242991,mid_range,757,600,1.2617,184.1739,182.6105,177.9976,33.4979,32.9846,33.7057
ja_natural,28469671,mid_range,757,600,1.2617,194.1385,193.9228,193.7146,30.7914,30.7388,30.4918
ja_natural,27225524,mid_range,757,600,1.2617,178.5599,178.6978,177.9578,64.1143,63.8449,64.368
ja_natural,27727303,mid_range,757,600,1.2617,184.358,183.7505,182.5127,36.0008,35.5875,35.9263
ja_natural,23356593,mid_range,757,600,1.2617,177.1025,177.5412,179.1086,33.298,31.5451,29.6703
ja_natural,5630046,mid_range,757,600,1.2617,167.5537,166.4158,165.4402,32.3423,32.6963,33.3012
ja_natural,25151393,mid_range,757,600,1.2617,163.8477,164.1162,161.9249,64.7151,62.8813,62.1306
ja_natural,27710360,mid_range,757,600,1.2617,189.5179,189.1469,188.5747,29.4411,29.5155,29.5349
